,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.5462063789367675,1.0146551579579421,0.0,0.0,1,linear,,"{'C': 1, 'kernel': 'linear'}",0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.0,0.4166666666666667,0.18633899812498245,28,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7,0.8181818181818182,0.7703030303030303,0.03847729186926883
1,8.074837732315064,7.323757554785242,0.00019884109497070312,0.00039768218994140625,10,linear,,"{'C': 10, 'kernel': 'linear'}",0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.5,0.31180478223116176,25,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7,0.8181818181818182,0.7925252525252526,0.061546905937227045
2,10.179986763000489,7.913393987939979,0.00019969940185546876,0.0003993988037109375,100,linear,,"{'C': 100, 'kernel': 'linear'}",0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.5,0.31180478223116176,25,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7,0.7272727272727273,0.7743434343434344,0.06463257426528464
3,11.90030770301819,8.692087110567735,0.0005971431732177734,0.00048757725868177175,1000,linear,,"{'C': 1000, 'kernel': 'linear'}",0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.5,0.31180478223116176,25,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7,0.7272727272727273,0.7521212121212122,0.03258480024833287
4,0.007288980484008789,0.010491271024789122,0.000940704345703125,0.0006409981752387162,1,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.001608562469482422,0.0005004102212447537,0.0007976531982421875,0.0003988266846370742,1,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.5833333333333334,0.2763853991962833,21,1.0,0.8888888888888888,0.8888888888888888,1.0,0.9090909090909091,0.9373737373737374,0.051663482232502736
6,0.0017943382263183594,0.0007466082125258532,0.0008067131042480469,0.00040361133629693746,1,rbf,auto,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0.0017951011657714843,0.0003988985058850665,0.0009987831115722656,0.0006309820806626387,10,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.001795482635498047,0.0003988506511931898,0.0005986690521240234,0.0004888112341665077,10,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.5833333333333334,0.2763853991962833,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0.0018018722534179688,0.0007575937478150209,0.0005916118621826172,0.0004832039077253206,10,rbf,auto,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.001676034927368164,0.0005688494506219776,0.0009921073913574218,1.0037846907375796e-05,100,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.001580953598022461,0.0007828314498412949,0.0010059356689453125,1.4980126008880682e-05,100,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.5833333333333334,0.2763853991962833,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0.0016934871673583984,0.0005801064939472656,0.0007992267608642578,0.0007381978927023167,100,rbf,auto,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0.0018175601959228515,0.00039278650420167114,0.0009070873260498047,0.0005021352390035159,1000,rbf,0.001,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.11785113019775792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.0014503002166748047,0.0004612230675264735,0.001177358627319336,0.00040915749726442847,1000,rbf,0.0001,"{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.5833333333333334,0.2763853991962833,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
